no person,155,0.9345062967741934
dog,136,0.9726986018382355
portrait,135,0.9296991574074077
mammal,132,0.9551825990909094
pet,124,0.9483868681451615
cute,122,0.9530034530327871
canine,118,0.9532192292372879
animal,115,0.9409877104347836
one,113,0.9100642590265484
puppy,100,0.9287638176999999
looking,99,0.8861921544444445
sit,94,0.8982255192553196
little,91,0.8966199087912089
young,82,0.8850405407317073
domestic,75,0.8996482170666669
people,74,0.9204684543243241
funny,69,0.8905583765217391
indoors,67,0.8966256676119402
outdoors,58,0.907432654310345
fur,57,0.8931888236842106
nature,46,0.9043499195652176
adult,46,0.8880715304347823
business,39,0.8917004928205128
adorable,38,0.9162290502631579
grass,37,0.9412888427027024
family,36,0.8662749449999999
breed,35,0.9092757594285713
friendship,30,0.8701251246666668
man,28,0.8845618967857144
woman,27,0.8875805566666664
retriever,27,0.9246732803703701
summer,26,0.8760641042307694
eye,25,0.8756876455999999
desktop,25,0.8738973392000002
wear,23,0.8906950273913041
illustration,23,0.8833290704347828
travel,21,0.8628483633333334
purebred,19,0.9062519010526316
text,18,0.87485116
room,18,0.9032992877777778
daylight,17,0.844477664117647
furniture,16,0.9030991662500001
fashion,16,0.9221867849999998
design,16,0.8708323062499999
two,16,0.8714945887500001
whelp,15,0.9051643846666667
wood,14,0.9013824157142857
fun,14,0.8552590885714286
pedigree,14,0.9282687785714286
isolated,14,0.9244831614285712
competition,14,0.8820318499999998
retro,12,0.9068125366666666
horizontal,12,0.863530985
humor,12,0.8544612483333335
technology,12,0.9022518649999999
vector,11,0.8928221136363635
street,11,0.8912192663636364
music,11,0.8648727672727272
baby,11,0.8450653900000001
vehicle,10,0.9190125389999999
education,10,0.893696323
seat,10,0.9318988789999999
landscape,10,0.865588415
obedience,10,0.8558677099999998
symbol,10,0.8602905670000001
studio,10,0.864774344
loyalty,10,0.8798170909999999
child,9,0.8547571777777778
offense,9,0.8453066111111112
computer,9,0.8972754911111112
park,9,0.8986912588888889
lid,9,0.8898777266666666
golden retriever,9,0.9362981266666667
leisure,8,0.8819435025
image,8,0.84913852875
internet,8,0.89402422375
road,8,0.9011645162499999
paper,8,0.8591550787500001
car,8,0.9338810925
water,7,0.9011161842857144
vertical,7,0.8642052057142856
page,7,0.8984704557142857
girl,7,0.8906597128571428
recreation,7,0.8887610471428572
relaxation,7,0.8557756742857142
old,7,0.8557914442857143
abstract,7,0.9073968585714286
template,7,0.9139073200000001
art,7,0.8436161799999999
card,7,0.8420471085714285
graphic,7,0.8554091
transportation system,7,0.9480502357142858
terrier,6,0.89173585
World Wide Web,6,0.9119141483333334
office,6,0.8927763516666666
motion,6,0.8624229933333334
veil,6,0.8767056016666667
food,6,0.8858737900000001
house,6,0.9328078533333333
sofa,6,0.8930960166666667
festival,6,0.8405183966666666
lawn,6,0.907016355
winter,6,0.8745071016666667
color,5,0.857705668
hayfield,5,0.875968862
commerce,5,0.8252394799999999
chair,5,0.9345525560000001
sign,5,0.833598434
sky,5,0.9219684619999999
protection,5,0.858633932
vectors,5,0.92130516
coffee,5,0.8718269
exhibition,5,0.882092694
home,5,0.947272916
city,5,0.8020378920000001
conceptual,5,0.797573154
modern,5,0.878420648
fair weather,5,0.8778882959999998
tongue,5,0.893184858
luxury,5,0.819720766
banner,5,0.89289236
laptop,5,0.940307408
downy,5,0.8761636320000001
side view,5,0.864516364
love,5,0.84189364
signalise,4,0.8937315
group,4,0.86705665
medicine,4,0.8688731024999999
contemporary,4,0.8695226599999999
farm,4,0.8727701000000001
action,4,0.8728588575
drag race,4,0.8579848499999999
school,4,0.8760102125
disjunct,4,0.8762498825
field,4,0.8770470125000001
building,4,0.8777044275000001
cat,4,0.8834740525
frosty,4,0.884797525
window,4,0.855241575
casual,4,0.97929562
tree,4,0.9779755600000001
healthcare,4,0.8673223775
drink,4,0.8965960399999999
sitting,4,0.8970055
head,4,0.907140165
security,4,0.8443663975
administration,4,0.9143871075000001
architecture,4,0.919491965
apparel,4,0.93808808
Labrador retriever,4,0.9447360225
vintage,4,0.83674855
garment,4,0.9606371825
sleeve,4,0.96333075
wait,4,0.8241119925
shirt,4,0.9723697625000001
cotton,4,0.9738322425
health,4,0.7993579775
presentation,3,0.8897851533333334
navigation,3,0.92807238
blur,3,0.8611531499999999
picture frame,3,0.8604517733333333
leather,3,0.88991652
garden,3,0.9264144000000001
bowler,3,0.9261460066666666
communication,3,0.9178695299999999
nose,3,0.85778718
cap,3,0.91755744
flora,3,0.8566330533333334
police,3,0.9053815
pavement,3,0.9166126833333333
yard,3,0.8954247433333333
facial expression,3,0.85564975
snow,3,0.8856300433333333
tee,3,0.9739474633333334
screen,3,0.9246692533333333
inside,3,0.8847929533333333
shop,3,0.9683556833333333
safety,3,0.8521158799999999
fence,3,0.8509516666666667
hound,3,0.8495673699999999
table,3,0.9025356666666666
stock,3,0.8486608466666666
stripe,3,0.8467304233333334
label,3,0.8698050166666667
traffic,3,0.9125782933333334
drive,3,0.9015867466666666
ball,3,0.9222362666666667
document,3,0.88836829
beautiful,3,0.84205147
elegant,3,0.8669471
wildlife,3,0.88174317
group together,3,0.9612939666666667
dress,3,0.9008793566666666
beach,3,0.8348231666666667
access,3,0.9004191533333333
closeup,3,0.8291143566666667
race,3,0.8264079033333335
battle,3,0.8255322
pattern,3,0.9000493199999999
environment,3,0.9082753033333333
electronics,3,0.8640856
creativity,3,0.8165642466666667
face,3,0.8640592566666667
actor,3,0.8013633200000001
polo,3,0.9743654766666667
game,3,0.8766500533333333
submission,3,0.7610132333333333
sleep,2,0.924490585
